timestamp,session_id,agent_id,backend,model,path,stream,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,stop_reason,request_bytes,response_bytes,ttfb_ms,duration_ms,error_status,error_code,error_message,router_version,request_ref,response_ref,queue_ms,store_ms,queue_bytes,request_dict_id
2026-08-26T13:08:13.294+00:00,session-08,agent-01,anthropic,claude-opus-5,/v1/messages,true,2,4569,146795,3548,tool_use,427912,73291,1610,60185,ok,,,0.1.0,req-739,resp-852,0,14,501203,9dd33823
2026-08-26T13:09:19.122+00:00,session-08,agent-01,anthropic,claude-opus-5,/v1/messages,true,237,16,150343,0,end_turn,428553,2372,1650,2009,ok,,,0.1.0,req-740,resp-853,0,25,430925,9dd33823
2026-08-26T13:10:21.161+00:00,session-08,agent-01,anthropic,claude-opus-5,/v1/messages,true,406,16,150343,4571,end_turn,444460,1966,1765,2005,ok,,,0.1.0,req-741,resp-854,0,12,446426,9dd33823
2026-08-26T13:10:15.819+00:00,session-08,agent-01,anthropic,claude-opus-5,/v1/messages,true,2,1054,150343,4738,tool_use,443820,12987,3920,18567,ok,,,0.1.0,req-742,resp-855,4,16,456807,9dd33823
2026-08-26T13:10:34.483+00:00,session-08,agent-01,anthropic,claude-opus-5,/v1/messages,true,2,376,155081,1319,tool_use,448114,11735,1549,5446,ok,,,0.1.0,req-743,resp-856,0,11,459849,9dd33823
2026-08-26T13:10:53.212+00:00,session-08,agent-01,anthropic,claude-opus-5,/v1/messages,true,239,18,156926,0,end_turn,450600,2013,2443,2807,ok,,,0.1.0,req-744,resp-857,0,23,452613,9dd33823
2026-08-26T13:10:39.979+00:00,session-08,agent-01,anthropic,claude-opus-5,/v1/messages,true,2,16310,156400,526,end_turn,449960,88470,1478,230075,ok,,,0.1.0,req-745,resp-858,0,18,538430,9dd33823
2026-08-26T13:14:30.124+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,2769,235631,20484,tool_use,799730,34747,1717,38207,ok,,,0.1.0,req-746,resp-859,0,11,834477,9dd33823
2026-08-26T13:16:14.514+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1071,256115,3002,tool_use,810050,20961,1660,14968,ok,,,0.1.0,req-747,resp-860,0,13,831011,9dd33823
2026-08-26T13:16:43.225+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,897,259117,1220,tool_use,814342,13984,2277,13015,ok,,,0.1.0,req-748,resp-861,0,10,828326,9dd33823
